Sr. No.,Assigned To,Company Name,Website,Website Verified,Scan Completed,Screenshot Taken,Wave Score,Axe Score,LH Score,Screenshot link,Contact Person 1,Designation 1,Email ID 1,Contact Person 2,Designation 2,Email ID 2
"409","Auditor 1","Global Pet Industries Limited","Not Found","No","No","No","1.5 out of 10","53","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Global_Pet_Industries_Limited/screenshots/Global_Pet_Industries_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"410","Auditor 1","Pentagon Rubber Limited","pentagonrubber.com","Yes","No","No","3.9 out of 10","38","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Pentagon_Rubber_Limited/screenshots/Pentagon_Rubber_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"411","Auditor 1","Greenchef Appliances Limited","Not Found","No","No","No","6.5 out of 10","22","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Greenchef_Appliances_Limited/screenshots/Greenchef_Appliances_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"412","Auditor 1","Magson Retail And Distribution Limited","Not Found","No","No","No","3.4 out of 10","41","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Magson_Retail_And_Distribution_Limited/screenshots/Magson_Retail_And_Distribution_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"413","Auditor 1","Essen Speciality Films Limited","essenspeciality.com","Yes","No","No","2.6 out of 10","46","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Essen_Speciality_Films_Limited/screenshots/Essen_Speciality_Films_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"414","Auditor 1","Vilin Bio Med Limited","Not Found","No","No","No","2.6 out of 10","46","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Vilin_Bio_Med_Limited/screenshots/Vilin_Bio_Med_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"415","Auditor 1","Aatmaj Healthcare Limited","Not Found","No","No","No","6.2 out of 10","24","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Aatmaj_Healthcare_Limited/screenshots/Aatmaj_Healthcare_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"416","Auditor 1","Cell Point (India) Limited","cellpointdigital.com","Yes","No","No","3.8 out of 10","39","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Cell_Point__India__Limited/screenshots/Cell_Point__India__Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"417","Auditor 1","Spectrum Talent Management Limited","stmpl.co.in","Yes","No","No","1 out of 10","60","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Spectrum_Talent_Management_Limited/screenshots/Spectrum_Talent_Management_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"418","Auditor 1","Urban Enviro Waste Management Limited","Not Found","No","No","No","4.9 out of 10","32","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Urban_Enviro_Waste_Management_Limited/screenshots/Urban_Enviro_Waste_Management_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"419","Auditor 1","Kore Digital Limited","koredigitalhealth.com","Yes","No","No","6.3 out of 10","23","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Kore_Digital_Limited/screenshots/Kore_Digital_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"420","Auditor 1","Sahana System Limited","sahanasystem.com","Yes","No","No","1 out of 10","58","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Sahana_System_Limited/screenshots/Sahana_System_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"421","Auditor 1","Infollion Research Services Limited","Not Found","No","No","No","6.2 out of 10","24","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Infollion_Research_Services_Limited/screenshots/Infollion_Research_Services_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"422","Auditor 1","Proventus Agrocom Limited","proventusagro.com","Yes","No","No","3.8 out of 10","39","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Proventus_Agrocom_Limited/screenshots/Proventus_Agrocom_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"423","Auditor 1","Crayons Advertising Limited","Not Found","No","No","No","7.3 out of 10","17","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Crayons_Advertising_Limited/screenshots/Crayons_Advertising_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"424","Auditor 1","Vasa Denticity Limited","Not Found","No","No","No","2.6 out of 10","46","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Vasa_Denticity_Limited/screenshots/Vasa_Denticity_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"425","Auditor 1","Remus Pharmaceuticals Limited","Not Found","No","No","No","4.9 out of 10","32","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Remus_Pharmaceuticals_Limited/screenshots/Remus_Pharmaceuticals_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"426","Auditor 1","Krishca Strapping Solutions Limited","Not Found","No","No","No","5.4 out of 10","29","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Krishca_Strapping_Solutions_Limited/screenshots/Krishca_Strapping_Solutions_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"427","Auditor 1","Auro Impex  & Chemicals Limited","auroimpex.com","Yes","No","No","6.6 out of 10","21","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Auro_Impex____Chemicals_Limited/screenshots/Auro_Impex____Chemicals_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"428","Auditor 1","De Neers Tools Limited","deneerstools.com","Yes","No","No","3 out of 10","44","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/De_Neers_Tools_Limited/screenshots/De_Neers_Tools_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"429","Auditor 1","Quicktouch Technologies Limited","quicktouchtech.com","Yes","No","No","5.5 out of 10","28","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Quicktouch_Technologies_Limited/screenshots/Quicktouch_Technologies_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"430","Auditor 1","A G Universal Limited","aguniversalusa.com","Yes","No","No","1.8 out of 10","51","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/A_G_Universal_Limited/screenshots/A_G_Universal_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"431","Auditor 1","Pattech Fitwell Tube Components Limited","Not Found","No","No","No","4.2 out of 10","36","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Pattech_Fitwell_Tube_Components_Limited/screenshots/Pattech_Fitwell_Tube_Components_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"432","Auditor 1","Mos Utility Limited","Not Found","No","No","No","6.2 out of 10","24","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Mos_Utility_Limited/screenshots/Mos_Utility_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"433","Auditor 1","Infinium Pharmachem Limited","infiniumpharmachem.com","Yes","No","No","4.4 out of 10","35","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Infinium_Pharmachem_Limited/screenshots/Infinium_Pharmachem_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"434","Auditor 1","Sotac Pharmaceuticals Limited","Not Found","No","No","No","2.2 out of 10","49","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Sotac_Pharmaceuticals_Limited/screenshots/Sotac_Pharmaceuticals_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"435","Auditor 1","Nirman Agri Genetics Limited","Not Found","No","No","No","3.6 out of 10","40","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Nirman_Agri_Genetics_Limited/screenshots/Nirman_Agri_Genetics_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"436","Auditor 1","Quality Foils (India) Limited","Not Found","No","No","No","7.3 out of 10","17","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Quality_Foils__India__Limited/screenshots/Quality_Foils__India__Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"437","Auditor 1","Vels Film International Limited","Not Found","No","No","No","3.3 out of 10","42","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Vels_Film_International_Limited/screenshots/Vels_Film_International_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"438","Auditor 1","Mcon Rasayan India Limited","mconrasayan.com","Yes","No","No","1 out of 10","63","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Mcon_Rasayan_India_Limited/screenshots/Mcon_Rasayan_India_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"439","Auditor 1","Vertexplus Technologies Limited","vertexplus.com","Yes","No","No","4.1 out of 10","37","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Vertexplus_Technologies_Limited/screenshots/Vertexplus_Technologies_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"440","Auditor 1","Systango Technologies Limited","systango.com","Yes","No","No","3.9 out of 10","38","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Systango_Technologies_Limited/screenshots/Systango_Technologies_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"441","Auditor 1","Srivasavi Adhesive Tapes Limited","vasavitapes.com","Yes","No","No","7.3 out of 10","17","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Srivasavi_Adhesive_Tapes_Limited/screenshots/Srivasavi_Adhesive_Tapes_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"442","Auditor 1","Viaz Tyres Limited","viaztyres.com","Yes","No","No","2.8 out of 10","45","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Viaz_Tyres_Limited/screenshots/Viaz_Tyres_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"443","Auditor 1","Agarwal Float Glass India Limited","Not Found","No","No","No","3.6 out of 10","40","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Agarwal_Float_Glass_India_Limited/screenshots/Agarwal_Float_Glass_India_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"444","Auditor 1","Lead Reclaim And Rubber Products Limited","Not Found","No","No","No","4.7 out of 10","33","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Lead_Reclaim_And_Rubber_Products_Limited/screenshots/Lead_Reclaim_And_Rubber_Products_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"445","Auditor 1","Shera Energy Limited","sheraenergy.com","Yes","No","No","3.3 out of 10","42","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Shera_Energy_Limited/screenshots/Shera_Energy_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"446","Auditor 1","Gayatri Rubbers And Chemicals Limited","Not Found","No","No","No","6.8 out of 10","20","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Gayatri_Rubbers_And_Chemicals_Limited/screenshots/Gayatri_Rubbers_And_Chemicals_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"447","Auditor 1","Aristo Bio-Tech And Lifescience Limited","Not Found","No","No","No","1 out of 10","64","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Aristo_Bio_Tech_And_Lifescience_Limited/screenshots/Aristo_Bio_Tech_And_Lifescience_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"448","Auditor 1","Ducol Organics And Colours Limited","Not Found","No","No","No","5.7 out of 10","27","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Ducol_Organics_And_Colours_Limited/screenshots/Ducol_Organics_And_Colours_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"449","Auditor 1","Chaman Metallics Limited","Not Found","No","No","No","5.2 out of 10","30","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Chaman_Metallics_Limited/screenshots/Chaman_Metallics_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"450","Auditor 1","Anlon Technology Solutions Limited","Not Found","No","No","No","1.4 out of 10","54","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Anlon_Technology_Solutions_Limited/screenshots/Anlon_Technology_Solutions_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"451","Auditor 1","Rbm Infracon Limited","rbminfracon.com","Yes","No","No","6 out of 10","25","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Rbm_Infracon_Limited/screenshots/Rbm_Infracon_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"452","Auditor 1","Homesfy Realty Limited","Not Found","No","No","No","1.8 out of 10","51","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Homesfy_Realty_Limited/screenshots/Homesfy_Realty_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"453","Auditor 1","Moxsh Overseas Educon Limited","Not Found","No","No","No","6.8 out of 10","20","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Moxsh_Overseas_Educon_Limited/screenshots/Moxsh_Overseas_Educon_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"454","Auditor 1","Uma Converter Limited","umaconverter.com","Yes","No","No","1 out of 10","63","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Uma_Converter_Limited/screenshots/Uma_Converter_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"455","Auditor 1","Arihant Academy Limited","arihantacademy.com","Yes","No","No","6.3 out of 10","23","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Arihant_Academy_Limited/screenshots/Arihant_Academy_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"456","Auditor 1","Dollex Agrotech Limited","Not Found","No","No","No","6.2 out of 10","24","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Dollex_Agrotech_Limited/screenshots/Dollex_Agrotech_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"457","Auditor 1","All E Technologies Limited","allegiantair.com","Yes","No","No","1 out of 10","59","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/All_E_Technologies_Limited/screenshots/All_E_Technologies_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"458","Auditor 1","Arham Technologies Limited","arhamtechnologies.co.in","Yes","No","No","5.8 out of 10","26","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Arham_Technologies_Limited/screenshots/Arham_Technologies_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
